tweet,sentiment value
RT @LindaSuhler: Trump Restores Churchill Bust to Oval Office in First Day as President #InaugurationDay #MyPresident #MAGA https://t.co/Tr…, 0.250000, 
RT @xflowerscrown: sul sito della casa bianca è sparita la pagina dedicata ai diritti lgbt.  ecco a voi trump  il presidente del "progresso…, 0.000000, 
RT @Jezebel: Donald Trump plagiarized Bane in his #inauguration speech: https://t.co/Vt3tISj9s9 https://t.co/sSjkx7vcRJ, 0.000000, 
RT @sonserinou: ''trump é voldemort  mas nós somos Harry Potter'' E A HERMIONE AINDA TÁ JUNTO! #WomensMarch https://t.co/WgV6eY5qMY, 0.000000, 
New South park series with Trump #JustinBieber #south  https://t.co/z172dAe7nY, 0.136364, 
"Trump no hagas chistes de personas que son diferentes. Se útil. Se emjemplo como yo" salvo mi día #WomensMarch https://t.co/yuVwWmko7b, 0.000000, 
Lol! I still dnt understand how people who think have unreserved values for humans rights are inspired by Trump., 1.000000, 
RT @666RlDE: who would be a better president rt for tyler's lips like for donald trump https://t.co/rboKlBm10W, 0.500000, 
RT @NewYorker: There is nothing “unfair” about protesting  or about the long and proud tradition of Americans doing so. https://t.co/oGcqn3…, 0.083333, 
RT @EiProfeta: Emma Watson en la marcha contra Donald Trump. Un ejemplo para todo el mundo. #WomensMarch https://t.co/FDJgikb0Mw, 0.000000, 
RT @VanityFair: Trump’s son-in-law has been cleared to work in the White House  despite anti-nepotism laws https://t.co/C2IDLIaDIv https://…, 0.000000, 
RT @Foro_TV: "No queremos que nos separen de México": responde manifestante anti Trump @genarolozano  https://t.co/jX7ScACVoi, 0.000000, 
RT @MikeHudema: Beautiful! Even in Antarctica  Women Are Rising to Say No To @realDonaldTrump: https://t.co/F981ElhXUN #WomensMarch #Womens…, 1.000000, 
Internacionalista: Políticas imperiales podrían impedir que Trump cumpla sus promesas: Caracas  21 de enero de…… https://t.co/9GIvZ5JldW, 0.000000, 
https://t.co/RVq5zAUfK5, 0.000000, 
RT @ananavarro: Trump inaugural address widely panned; crowds 1/3 of Obama's; no A-list celebrities; anarchists burning stuff. Other than t…, -0.112500, 
RT @rmayemsinger: It's OFFICIAL #WomensMarchOnWashington is biggest inaugural protest in HISTORY. Sorry Mr. Trump  THIS is what a populist…, -0.500000, 
RT @derechosdigital: Señores de Silicon Valley  es hora de proteger en serio a sus usuarios. Ustedes tienen el poder y la responsabilidad h…, 0.000000, 
RT @LBC: "I thought large parts of it were a disgrace" says @IainDale https://t.co/kiQeZJ0pVa, 0.214286, 
RT @ArturoVilla_: Protestan contra Trump y atacan un Starbucks (que dio ~$150k a la campaña de Hillary) y un BoA (~$500k). Estos progres so…, 0.000000, 
RT @IsicaLynn: Everybody should be welcome but I fear the petty anti-trump contingent has marginalized many. Should be a time to unify not…, 0.400000, 
RT @rmayemsinger: It's OFFICIAL #WomensMarchOnWashington is biggest inaugural protest in HISTORY. Sorry Mr. Trump  THIS is what a populist…, -0.500000, 
RT @Sargon_of_Akkad: What rights do you think Trump will take away? #WomensMarch, 0.000000, 
Proof that Trump is not like typical @GOP politicians. Looking at you  @SpeakerRyan . https://t.co/1QSC4zSPSO, -0.166667, 
RT @DaftLimmy: Must be good having a wank if you're Trump  in terms of seeing the ratio of hand size to cock size. Like having a big 12 inc…, 0.350000, 
RT @conexaopoIitica: "Trump só falava em Deus  o Estado é laico."  E o Estado laico é ateu? Estado Laico é a permissão de todos professarem…, 0.000000, 
RT @boreanazs: take that trump #WomensMarch https://t.co/iV9tNtQMLN, 0.000000, 
RT @FedericoRampini: Nazionalismo e populismo nel discorso-comizio di Trump: chi sperava in un nuovo Reagan è deluso https://t.co/XUxegtsLk…, 0.000000, 
Trump is still a puppet to your new world order., 0.136364, 
Internacionalista: Políticas imperiales podrían impedir que Trump cumpla sus promesas: Caracas  21 de enero de…… https://t.co/AGXAKNIVlf, 0.000000, 
RT @CNN: Photos taken at 12:15 p.m. ET each day show Trump's inauguration crowd vs. the #WomensMarch https://t.co/syj3kEAr2t https://t.co/O…, 0.000000, 
@Impeach_D_Trump @realDonaldTrump @FoxNews worst night for leach politicians who've been doing the Fed Res bidding for a century., -1.000000, 
RT @nonoleouf_: -Bienvenue à la Maison Blanche Trump -C'était plutôt la Maison Noire jusqu'à aujourd'hui -C'est un peu raciste -Je m'en bat…, 0.000000, 
RT @antoniodelotero: "Republicans didn't protest Obama... so nobody should be protesting Trump"  Oh really? Then what would you call this?…, 0.200000, 
Standing behind Trump on Friday? The future of the Democratic Party https://t.co/Wc9UkXmH9e, -0.200000, 
RT @Haus0fBitchs: she ended trump #WomensMarch https://t.co/EqDEwH5mMs, 0.000000, 
RT @MattOrtega: Idaho coastal elites who do not understand real America gather under snowfall to protest Trump. https://t.co/EDoNlvGKHP, 0.200000, 
RT @AlbaniaOC: Peña EN CAÍDA LIBRE!! Evidencias de q HARÁN lo q Trump PIDA ¿Por qué? Porque no es malo para las ÉLITES del país. https://t.…, 0.000000, 
Barack Obama Won The White House  But Democrats Lost The Country https://t.co/030O5Bj3FD, 0.000000, 
#WomensMarchOnWashington: A sea of pink-hatted protesters vows to resist Donald Trump https://t.co/9Puq3tMGOy, 0.000000, 
#womensmarch boos as they pass Trump international hotel #womensmarchonwashington https://t.co/rLO6Z4MYnq, 0.000000, 
RT @ReignOfApril: A study in contrasts. Watch how Melania reacts to the Marine  how Trump greets her. Then watch my FLOTUS w/ the Marine &amp;…, 0.000000, 
RT @tortondo: La explanada del Capitolio ayer con Trump y hoy con la #WomensMarch https://t.co/4Qv12zDyUG, 0.000000, 
RT @ReignOfApril: A study in contrasts. Watch how Melania reacts to the Marine  how Trump greets her. Then watch my FLOTUS w/ the Marine &amp;…, 0.000000, 
RT @tbhireIate: Trump: "I will never let you down"  Obama: https://t.co/sUlWtO8Zhd, -0.155556, 
trump supporters really act like the only people that don't like him are black 🤔, 0.011111, 
@username_2k15 btw don't support trump it makes you look bad, -0.700000, 
RT @BillRatchet: u god dam right trump is president u god dam right nascar is the greatest sport u god dam right my cousin is fine as hell…, 0.454762, 
RT @girlsreallyrule: Trump is asking that the #NPS censure tweeting of the #'s in DC today to protest at #WomensMarch so that his #Inaugura…, 0.000000, 
RT @pestononsunday: Set your alarm for 10am when @peston will be talking Trump with @michaelgove Brexit with @Keir_Starmer &amp; UKIP with @pau…, 0.000000, 
RT @DrMartyFox: #Trump #ExecutiveOrder NUMBER ONE   Pending Repeal   ▶️DO NOT Implement #Obamacare Regulations   ▶️Grant Exemptions  https:…, 0.000000, 
RT @sweetatertot2: America has spoken. Nobody cares about your #WomensMarch Tomorrow everyone will be back watching football &amp; Trump will s…, 0.000000, 
RT @rosinhanhanha: grandes bostas os franceses fazendo em sua mimizenta manifestação contra Trump. Os muçulmanos comem a bunda dos francese…, 0.000000, 
RT @andylassner: According to Nielsen  the Trump inauguration got a 27.7 overnight rating compared to Obama who averaged a 37.2 rating.   T…, 0.000000, 
I really wanted to go to the women's protest against trump today 😭😭, 0.200000, 
RT @BernieSanders: Our response to Mr. Trump's inauguration has to be to fight back for economic  social  environmental &amp; racial justice. W…, 0.077778, 
RT @rmayemsinger: It's OFFICIAL #WomensMarchOnWashington is biggest inaugural protest in HISTORY. Sorry Mr. Trump  THIS is what a populist…, -0.500000, 
RT @joefrancis: Tiffany Trump's Inaugural Ball Designer: "This Is About Fashion  Not About Politics" https://t.co/PaJDvmzmH5 #fas… https://…, 0.000000, 
RT @piersmorgan: Let's be honest  ladies.. today's Women's March is just an anti-democratic protest at Trump winning the presidency., 0.550000, 
RT @tveitdal: Trump's White House said Friday eliminating enviro rules would boost wages by $30 billion. The figure was falsified. https://…, 0.000000, 
RT @antoniodelotero: "donald trump is the president you have to respect him"   me: https://t.co/2DPxC3H3IZ, 0.000000, 
RT @daisyrdley: Shia LaBeouf started an anti-trump livestream that will run for FOUR years #HEWILLNOTDIVIDEUS https://t.co/eFqeHBEXhs, 0.000000, 
RT @nxthompson: Reminder: Trump is an "unpopular populist." Most people neither voted for him nor like him. https://t.co/ughmgCa5nu, 0.500000, 
